name	link	level
Amplification	https://drive.google.com/file/d/11DHxq4JdNvQ-KBoxdPeZtz-Z1lRDGuLz/view?usp=sharing	insane
Ashly Wave trials	https://drive.google.com/file/d/1Q-ObqUm9vBIHoEq8cocopoBy0cKvpNVj/view?usp=sharing	Extreme Demon
BloodBath	https://drive.google.com/file/d/1NnpUSE-eWvi5jHHrIKS0gWlF34PPcQg7/view?usp=sharing	Extreme Demon
BloodLust	https://drive.google.com/file/d/19lLC2KKABZ9MGNTsGmupQiBJ6gkCPx3c/view?usp=sharing	Extreme Demon
Flame Wall	https://drive.google.com/file/d/1-rGTgZMn0izTnwJ1QjOuAFbZ8i-spttf/view?usp=sharing	Extreme Demon
IspyWithMyLittleEye	https://drive.google.com/file/d/18FVFyYKFGG5Nq5-fJK16QjHfWl-9M13G/view?usp=sharing	Insane
Orbit	https://drive.google.com/file/d/1n-_qFhoM15412WXmVElAKha6nppHCeUp/view?usp=sharing	Extreme Demon
Skeletal Shenanigans	https://drive.google.com/file/d/1PPXuwOl_eYrtbYojpC1voQ5QGkPnFosU/view?usp=sharing	Easy Demon
sonic wave	https://drive.google.com/file/d/1m1Kd8fr4ziZci4StZ5ya4x56EuO7A-Hz/view?usp=sharing	Extreme Demon
super sonic	https://drive.google.com/file/d/1qWFPNT3vVQ9yk6g_4d0MgGzGWHCu_lOS/view?usp=sharing	Demon
thinking space	https://drive.google.com/file/d/1j7ToyNX1XkzfKgtQeribsnXrYlx6nfwm/view?usp=sharing	Extreme Demon
Tital wave	https://drive.google.com/file/d/16qADMl9i1OUpNqkvcNNa3CTXwD01F4X_/view?usp=sharing	Extreme Demon
Doppler	https://drive.google.com/file/d/1U5KyPODP8EZBnSW8y4AGXA7rY3AOFW4p/view?usp=sharing	Hard Demon
thinking space 2	https://drive.google.com/file/d/1floEDwlVbOm68BtQeHjShvuxOvK-iMwF/view?usp=sharing	Extreme Demon
